Designator,Mid X,Mid Y,Layer,Rotation
C201,133.35,-62.23,T,90.00
C203,146.69,-72.90,T,270.00
C301,149.10,-72.26,T,180.00
C302,149.10,-65.91,T,0.00
C303,137.29,-61.98,T,180.00
C304,139.32,-62.23,T,90.00
C305,146.05,-65.15,T,0.00
C306,140.34,-62.23,T,90.00
C307,135.76,-73.79,T,270.00
C308,145.54,-66.17,T,0.00
C309,142.37,-63.37,T,90.00
C310,143.64,-74.30,T,180.00
C311,135.25,-68.20,T,180.00
C312,145.90,-70.48,T,0.00
C401,144.78,-62.87,T,45.00
C402,146.30,-61.72,T,90.00
C501,129.79,-70.10,T,0.00
C1001,151.13,-88.27,T,0.00
C1002,154.05,-81.15,T,180.00
C1003,149.86,-81.92,T,0.00
C1004,141.22,-90.42,T,180.00
C1005,143.51,-89.53,T,90.00
C1006,145.03,-89.53,T,90.00
C1007,146.56,-89.53,T,90.00
C1010,138.18,-90.42,T,0.00
C1011,135.89,-89.53,T,90.00
C1012,139.06,-95.89,T,180.00
C1301,124.21,-78.87,T,0.00
C1302,121.16,-78.87,T,180.00
C1401,146.05,-80.64,T,90.00
C1402,121.92,-58.42,T,90.00
D101,151.13,-91.44,T,90.00
D102,153.03,-91.44,T,90.00
D201,150.37,-61.21,T,180.00
D501,116.84,-76.83,T,270.00
D502,129.54,-84.45,T,180.00
D503,129.54,-88.27,T,180.00
D504,129.54,-80.64,T,0.00
D505,129.54,-92.08,T,0.00
D507,146.30,-94.36,T,180.00
D509,127.64,-72.77,T,180.00
J801,119.12,-68.58,T,270.00
J1501,117.47,-59.05,T,270.00
L301,141.35,-62.48,T,270.00
L401,144.02,-64.26,T,315.00
L1001,147.96,-84.45,T,90.00
L1003,139.70,-88.27,T,0.00
Q301,149.10,-69.09,T,90.00
R101,151.13,-94.61,T,270.00
R102,153.03,-94.61,T,270.00
R201,133.35,-65.41,T,90.00
R202,151.13,-63.50,T,270.00
R301,146.30,-67.11,T,180.00
R302,136.78,-73.79,T,90.00
R303,137.79,-73.79,T,90.00
R304,138.81,-73.79,T,90.00
R305,139.83,-73.79,T,90.00
R306,140.84,-73.79,T,90.00
R506,146.30,-95.89,T,180.00
R601,122.30,-61.59,T,270.00
R602,123.83,-61.59,T,270.00
R1001,154.31,-83.19,T,270.00
R1002,154.31,-86.36,T,270.00
R1003,136.53,-93.34,T,270.00
R1004,143.26,-94.36,T,180.00
R1005,142.11,-95.89,T,180.00
R1301,132.84,-73.66,T,180.00
SW201,126.36,-62.87,T,270.00
SW202,130.81,-62.87,T,270.00
U301,140.46,-77.72,T,270.00
U302,140.34,-68.58,T,270.00
U801,126.36,-68.58,T,0.00
U1001,151.76,-85.09,T,90.00
U1002,139.70,-93.34,T,0.00
U1401,140.34,-83.82,T,270.00
